day,flag_weekend,kd_armada,asal,tujuan,kapasitas,penumpang,waktu_keberangkatan,load_factor,urutan_keberangkatan
Tuesday,0,ID-JK 2306,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-03 03:30:00,21.052631578947366,2
Tuesday,0,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,8.0,2024-12-03 04:30:00,42.10526315789473,3
Tuesday,0,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,6.0,2024-12-03 05:30:00,31.57894736842105,4
Tuesday,0,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-03 05:30:00,21.052631578947366,5
Tuesday,0,ID-JK 2312,stasiun gambir,bandara soekarno hatta,19,13.0,2024-12-03 05:30:00,68.42105263157895,6
Tuesday,0,ID-JK 2311,stasiun gambir,bandara soekarno hatta,19,16.0,2024-12-03 06:30:00,84.21052631578947,7
Tuesday,0,ID-JK 2303,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-03 07:00:00,36.84210526315789,8
Tuesday,0,BIH 026,stasiun gambir,bandara soekarno hatta,32,13.0,2024-12-03 08:30:00,40.625,9
Tuesday,0,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,18.0,2024-12-03 08:30:00,94.73684210526316,10
Tuesday,0,ID-JK 2309,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-03 08:30:00,21.052631578947366,11
Tuesday,0,ID-JK 2310,stasiun gambir,bandara soekarno hatta,19,12.0,2024-12-03 08:30:00,63.1578947368421,12
Tuesday,0,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,5.0,2024-12-03 08:30:00,26.31578947368421,13
Tuesday,0,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,14.0,2024-12-03 09:30:00,73.68421052631578,14
Tuesday,0,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,9.0,2024-12-03 09:30:00,47.368421052631575,15
Tuesday,0,ID-JK 2303,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-03 10:30:00,21.052631578947366,16
Tuesday,0,ID-JK 2306,stasiun gambir,bandara soekarno hatta,19,7.0,2024-12-03 10:30:00,36.84210526315789,17
Tuesday,0,ID-JK 2304,stasiun gambir,bandara soekarno hatta,19,10.0,2024-12-03 11:30:00,52.63157894736842,18
Tuesday,0,ID-JK 2312,stasiun gambir,bandara soekarno hatta,19,3.0,2024-12-03 13:00:00,15.789473684210526,19
Tuesday,0,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,6.0,2024-12-03 13:30:00,31.57894736842105,20
Tuesday,0,BIH 026,stasiun gambir,bandara soekarno hatta,32,6.0,2024-12-03 14:00:00,18.75,21
Tuesday,0,ID-JK 2301,stasiun gambir,bandara soekarno hatta,19,2.0,2024-12-03 14:00:00,10.526315789473683,22
Tuesday,0,ID-JK 2305,stasiun gambir,bandara soekarno hatta,19,10.0,2024-12-03 14:00:00,52.63157894736842,23
Tuesday,0,ID-JK 2307,stasiun gambir,bandara soekarno hatta,19,3.0,2024-12-03 14:00:00,15.789473684210526,24
Tuesday,0,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,12.0,2024-12-03 14:00:00,63.1578947368421,25
Tuesday,0,ID-JK 2309,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-03 14:00:00,21.052631578947366,26
